occupancy_type,occupancy_source,occupancy_confidence,OCCUP_TYPE
PPPS,FIELD DERIVED,LOW CONFIDENCE,1525
PSTAS,FIELD DERIVED,LOW CONFIDENCE,1530
PSTBC,FIELD DERIVED,LOW CONFIDENCE,1535
PSTGC,FIELD DERIVED,LOW CONFIDENCE,1540
PSTGS,FIELD DERIVED,LOW CONFIDENCE,1545
PSTGW,FIELD DERIVED,LOW CONFIDENCE,1550
PWTL,FIELD DERIVED,LOW CONFIDENCE,1555
PWTM,FIELD DERIVED,LOW CONFIDENCE,1560
PWTS,FIELD DERIVED,LOW CONFIDENCE,1565
REL1,FIELD DERIVED,LOW CONFIDENCE,1575
RES1,FIELD DERIVED,LOW CONFIDENCE,1580
RES2,FIELD DERIVED,LOW CONFIDENCE,1585
RES3A,FIELD DERIVED,LOW CONFIDENCE,1590
RES3B,FIELD DERIVED,LOW CONFIDENCE,1595
RES3C,FIELD DERIVED,LOW CONFIDENCE,1600
RES3D,FIELD DERIVED,LOW CONFIDENCE,1605
RES3E,FIELD DERIVED,LOW CONFIDENCE,1610
RES3F,FIELD DERIVED,LOW CONFIDENCE,1615
RES4,FIELD DERIVED,LOW CONFIDENCE,1620
RES5,FIELD DERIVED,LOW CONFIDENCE,1625
RES6,FIELD DERIVED,LOW CONFIDENCE,1630
WLSL,FIELD DERIVED,LOW CONFIDENCE,1635
WLSM,FIELD DERIVED,LOW CONFIDENCE,1640
WLSS,FIELD DERIVED,LOW CONFIDENCE,1645
WWCV,FIELD DERIVED,LOW CONFIDENCE,1650
WWTL,FIELD DERIVED,LOW CONFIDENCE,1655
WWTM,FIELD DERIVED,LOW CONFIDENCE,1660
WWTS,FIELD DERIVED,LOW CONFIDENCE,1665
AGR1,PARCEL DERIVED,HIGH CONFIDENCE,2000
COM1,PARCEL DERIVED,HIGH CONFIDENCE,2005
COM10,PARCEL DERIVED,HIGH CONFIDENCE,2010
COM2,PARCEL DERIVED,HIGH CONFIDENCE,2015
COM3,PARCEL DERIVED,HIGH CONFIDENCE,2020
COM4,PARCEL DERIVED,HIGH CONFIDENCE,2025
COM5,PARCEL DERIVED,HIGH CONFIDENCE,2030
COM6,PARCEL DERIVED,HIGH CONFIDENCE,2035
COM7,PARCEL DERIVED,HIGH CONFIDENCE,2040
COM8,PARCEL DERIVED,HIGH CONFIDENCE,2045
COM9,PARCEL DERIVED,HIGH CONFIDENCE,2050
EDU1,PARCEL DERIVED,HIGH CONFIDENCE,2055
EDU2,PARCEL DERIVED,HIGH CONFIDENCE,2060
EPPL,PARCEL DERIVED,HIGH CONFIDENCE,2065
EPPM,PARCEL DERIVED,HIGH CONFIDENCE,2070
EPPS,PARCEL DERIVED,HIGH CONFIDENCE,2075
ESSH,PARCEL DERIVED,HIGH CONFIDENCE,2080
ESSL,PARCEL DERIVED,HIGH CONFIDENCE,2085
ESSM,PARCEL DERIVED,HIGH CONFIDENCE,2090
GOV1,PARCEL DERIVED,HIGH CONFIDENCE,2095
GOV2,PARCEL DERIVED,HIGH CONFIDENCE,2100
IND1,PARCEL DERIVED,HIGH CONFIDENCE,2105
IND2,PARCEL DERIVED,HIGH CONFIDENCE,2110
IND3,PARCEL DERIVED,HIGH CONFIDENCE,2115
IND4,PARCEL DERIVED,HIGH CONFIDENCE,2120
IND5,PARCEL DERIVED,HIGH CONFIDENCE,2125
IND6,PARCEL DERIVED,HIGH CONFIDENCE,2130
NGC,PARCEL DERIVED,HIGH CONFIDENCE,2135
NGCV,PARCEL DERIVED,HIGH CONFIDENCE,2140
OCV,PARCEL DERIVED,HIGH CONFIDENCE,2145
OPP,PARCEL DERIVED,HIGH CONFIDENCE,2150
ORFL,PARCEL DERIVED,HIGH CONFIDENCE,2155
ORFM,PARCEL DERIVED,HIGH CONFIDENCE,2160
ORFS,PARCEL DERIVED,HIGH CONFIDENCE,2165
OTF,PARCEL DERIVED,HIGH CONFIDENCE,2170
PCVS,PARCEL DERIVED,HIGH CONFIDENCE,2175
PPPL,PARCEL DERIVED,HIGH CONFIDENCE,2180
PPPM,PARCEL DERIVED,HIGH CONFIDENCE,2185
PPPS,PARCEL DERIVED,HIGH CONFIDENCE,2190
PSTAS,PARCEL DERIVED,HIGH CONFIDENCE,2195
PSTBC,PARCEL DERIVED,HIGH CONFIDENCE,2200
PSTGC,PARCEL DERIVED,HIGH CONFIDENCE,2205
PSTGS,PARCEL DERIVED,HIGH CONFIDENCE,2210
PSTGW,PARCEL DERIVED,HIGH CONFIDENCE,2215
PWTL,PARCEL DERIVED,HIGH CONFIDENCE,2220
PWTM,PARCEL DERIVED,HIGH CONFIDENCE,2225
PWTS,PARCEL DERIVED,HIGH CONFIDENCE,2230
REL1,PARCEL DERIVED,HIGH CONFIDENCE,2240
RES1,PARCEL DERIVED,HIGH CONFIDENCE,2245
RES2,PARCEL DERIVED,HIGH CONFIDENCE,2250
RES3A,PARCEL DERIVED,HIGH CONFIDENCE,2255
RES3B,PARCEL DERIVED,HIGH CONFIDENCE,2260
RES3C,PARCEL DERIVED,HIGH CONFIDENCE,2265
RES3D,PARCEL DERIVED,HIGH CONFIDENCE,2270
RES3E,PARCEL DERIVED,HIGH CONFIDENCE,2275
RES3F,PARCEL DERIVED,HIGH CONFIDENCE,2280
RES4,PARCEL DERIVED,HIGH CONFIDENCE,2285
RES5,PARCEL DERIVED,HIGH CONFIDENCE,2290
RES6,PARCEL DERIVED,HIGH CONFIDENCE,2295
WLSL,PARCEL DERIVED,HIGH CONFIDENCE,2300
WLSM,PARCEL DERIVED,HIGH CONFIDENCE,2305
WLSS,PARCEL DERIVED,HIGH CONFIDENCE,2310
WWCV,PARCEL DERIVED,HIGH CONFIDENCE,2315
WWTL,PARCEL DERIVED,HIGH CONFIDENCE,2320
WWTM,PARCEL DERIVED,HIGH CONFIDENCE,2325
WWTS,PARCEL DERIVED,HIGH CONFIDENCE,2330
AGR1,PARCEL DERIVED,LOW CONFIDENCE,2335
COM1,PARCEL DERIVED,LOW CONFIDENCE,2340
COM10,PARCEL DERIVED,LOW CONFIDENCE,2345
COM2,PARCEL DERIVED,LOW CONFIDENCE,2350
COM3,PARCEL DERIVED,LOW CONFIDENCE,2355
COM4,PARCEL DERIVED,LOW CONFIDENCE,2360
COM5,PARCEL DERIVED,LOW CONFIDENCE,2365
COM6,PARCEL DERIVED,LOW CONFIDENCE,2370
COM7,PARCEL DERIVED,LOW CONFIDENCE,2375
COM8,PARCEL DERIVED,LOW CONFIDENCE,2380
COM9,PARCEL DERIVED,LOW CONFIDENCE,2385
EDU1,PARCEL DERIVED,LOW CONFIDENCE,2390
EDU2,PARCEL DERIVED,LOW CONFIDENCE,2395
EPPL,PARCEL DERIVED,LOW CONFIDENCE,2400
EPPM,PARCEL DERIVED,LOW CONFIDENCE,2405
EPPS,PARCEL DERIVED,LOW CONFIDENCE,2410
ESSH,PARCEL DERIVED,LOW CONFIDENCE,2415
ESSL,PARCEL DERIVED,LOW CONFIDENCE,2420
ESSM,PARCEL DERIVED,LOW CONFIDENCE,2425
GOV1,PARCEL DERIVED,LOW CONFIDENCE,2430
GOV2,PARCEL DERIVED,LOW CONFIDENCE,2435
IND1,PARCEL DERIVED,LOW CONFIDENCE,2440
IND2,PARCEL DERIVED,LOW CONFIDENCE,2445
IND3,PARCEL DERIVED,LOW CONFIDENCE,2450
IND4,PARCEL DERIVED,LOW CONFIDENCE,2455
IND5,PARCEL DERIVED,LOW CONFIDENCE,2460
IND6,PARCEL DERIVED,LOW CONFIDENCE,2465
NGC,PARCEL DERIVED,LOW CONFIDENCE,2470
NGCV,PARCEL DERIVED,LOW CONFIDENCE,2475
OCV,PARCEL DERIVED,LOW CONFIDENCE,2480
OPP,PARCEL DERIVED,LOW CONFIDENCE,2485
ORFL,PARCEL DERIVED,LOW CONFIDENCE,2490
ORFM,PARCEL DERIVED,LOW CONFIDENCE,2495
ORFS,PARCEL DERIVED,LOW CONFIDENCE,2500
OTF,PARCEL DERIVED,LOW CONFIDENCE,2505
PCVS,PARCEL DERIVED,LOW CONFIDENCE,2510
PPPL,PARCEL DERIVED,LOW CONFIDENCE,2515
PPPM,PARCEL DERIVED,LOW CONFIDENCE,2520
PPPS,PARCEL DERIVED,LOW CONFIDENCE,2525
PSTAS,PARCEL DERIVED,LOW CONFIDENCE,2530
PSTBC,PARCEL DERIVED,LOW CONFIDENCE,2535
PSTGC,PARCEL DERIVED,LOW CONFIDENCE,2540
PSTGS,PARCEL DERIVED,LOW CONFIDENCE,2545
PSTGW,PARCEL DERIVED,LOW CONFIDENCE,2550
PWTL,PARCEL DERIVED,LOW CONFIDENCE,2555
PWTM,PARCEL DERIVED,LOW CONFIDENCE,2560
PWTS,PARCEL DERIVED,LOW CONFIDENCE,2565
REL1,PARCEL DERIVED,LOW CONFIDENCE,2575
RES1,PARCEL DERIVED,LOW CONFIDENCE,2580
RES2,PARCEL DERIVED,LOW CONFIDENCE,2585
RES3A,PARCEL DERIVED,LOW CONFIDENCE,2590
RES3B,PARCEL DERIVED,LOW CONFIDENCE,2595
RES3C,PARCEL DERIVED,LOW CONFIDENCE,2600
RES3D,PARCEL DERIVED,LOW CONFIDENCE,2605
RES3E,PARCEL DERIVED,LOW CONFIDENCE,2610
RES3F,PARCEL DERIVED,LOW CONFIDENCE,2615
RES4,PARCEL DERIVED,LOW CONFIDENCE,2620
RES5,PARCEL DERIVED,LOW CONFIDENCE,2625
RES6,PARCEL DERIVED,LOW CONFIDENCE,2630
WLSL,PARCEL DERIVED,LOW CONFIDENCE,2635
WLSM,PARCEL DERIVED,LOW CONFIDENCE,2640
WLSS,PARCEL DERIVED,LOW CONFIDENCE,2645
WWCV,PARCEL DERIVED,LOW CONFIDENCE,2650
WWTL,PARCEL DERIVED,LOW CONFIDENCE,2655
WWTM,PARCEL DERIVED,LOW CONFIDENCE,2660
WWTS,PARCEL DERIVED,LOW CONFIDENCE,2665
AGR1,HAZUS DERIVED,,3000
COM1,HAZUS DERIVED,,3005
COM10,HAZUS DERIVED,,3010
COM2,HAZUS DERIVED,,3015
COM3,HAZUS DERIVED,,3020
COM4,HAZUS DERIVED,,3025
COM5,HAZUS DERIVED,,3030
COM6,HAZUS DERIVED,,3035
COM7,HAZUS DERIVED,,3040
COM8,HAZUS DERIVED,,3045
COM9,HAZUS DERIVED,,3050
EDU1,HAZUS DERIVED,,3055
EDU2,HAZUS DERIVED,,3060
EPPL,HAZUS DERIVED,,3065
EPPM,HAZUS DERIVED,,3070
EPPS,HAZUS DERIVED,,3075
ESSH,HAZUS DERIVED,,3080
ESSL,HAZUS DERIVED,,3085
ESSM,HAZUS DERIVED,,3090
GOV1,HAZUS DERIVED,,3095
GOV2,HAZUS DERIVED,,3100
IND1,HAZUS DERIVED,,3105
IND2,HAZUS DERIVED,,3110
IND3,HAZUS DERIVED,,3115
IND4,HAZUS DERIVED,,3120
IND5,HAZUS DERIVED,,3125
IND6,HAZUS DERIVED,,3130
NGC,HAZUS DERIVED,,3135
NGCV,HAZUS DERIVED,,3140
OCV,HAZUS DERIVED,,3145
OPP,HAZUS DERIVED,,3150
ORFL,HAZUS DERIVED,,3155
ORFM,HAZUS DERIVED,,3160
