occupancy_type,occupancy_source,occupancy_confidence,OCCUP_TYPE
PSTAS,RESEARCH DERIVED,LOW CONFIDENCE,5530
PSTBC,RESEARCH DERIVED,LOW CONFIDENCE,5535
PSTGC,RESEARCH DERIVED,LOW CONFIDENCE,5540
PSTGS,RESEARCH DERIVED,LOW CONFIDENCE,5545
PSTGW,RESEARCH DERIVED,LOW CONFIDENCE,5550
PWTL,RESEARCH DERIVED,LOW CONFIDENCE,5555
PWTM,RESEARCH DERIVED,LOW CONFIDENCE,5560
PWTS,RESEARCH DERIVED,LOW CONFIDENCE,5565
REL1,RESEARCH DERIVED,LOW CONFIDENCE,5575
RES1,RESEARCH DERIVED,LOW CONFIDENCE,5580
RES2,RESEARCH DERIVED,LOW CONFIDENCE,5585
RES3A,RESEARCH DERIVED,LOW CONFIDENCE,5590
RES3B,RESEARCH DERIVED,LOW CONFIDENCE,5595
RES3C,RESEARCH DERIVED,LOW CONFIDENCE,5600
RES3D,RESEARCH DERIVED,LOW CONFIDENCE,5605
RES3E,RESEARCH DERIVED,LOW CONFIDENCE,5610
RES3F,RESEARCH DERIVED,LOW CONFIDENCE,5615
RES4,RESEARCH DERIVED,LOW CONFIDENCE,5620
RES5,RESEARCH DERIVED,LOW CONFIDENCE,5625
RES6,RESEARCH DERIVED,LOW CONFIDENCE,5630
WLSL,RESEARCH DERIVED,LOW CONFIDENCE,5635
WLSM,RESEARCH DERIVED,LOW CONFIDENCE,5640
WLSS,RESEARCH DERIVED,LOW CONFIDENCE,5645
WWCV,RESEARCH DERIVED,LOW CONFIDENCE,5650
WWTL,RESEARCH DERIVED,LOW CONFIDENCE,5655
WWTM,RESEARCH DERIVED,LOW CONFIDENCE,5660
WWTS,RESEARCH DERIVED,LOW CONFIDENCE,5665
NOT APPLICABLE,,,NA
NOT PROVIDED,,,NP
